Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
36668130,816모3745,2022/01/18,-,디젤,"13,258km",양호,양호,없음,없음,없음,매연: 5%,해당없음,더 뉴 렉스턴 스포츠 칸,2022년식
38126460,357버1264,2016/04/27,오토,디젤,"233,523km",양호,양호,없음,없음,없음,매연: 5%,해당없음,올 뉴 카니발,2016년식
38410251,365어4732,2021/10/08,오토,가솔린,"68,942km",양호,양호,없음,없음,없음,일산화탄소: 0.06% / 탄화수소: 12ppm,해당 / 이행,쏘렌토 4세대,2022년식
38558036,102머8110,2021/04/08,-,가솔린,"70,684km",양호,양호,없음,없음,없음,일산화탄소: 0.12% / 탄화수소: 15ppm,해당 / 이행,카니발 4세대,2021년식
38392023,46저6359,2014/03/31,오토,가솔린+전기,"99,920km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,K7 하이브리드,2014년식
38347467,20루4198,2018/04/03,-,디젤,"109,170km",양호,양호,없음,없음,없음,매연: 2%,해당없음,캡티바,2018년식
37879133,22가9377,2011/04/13,-,가솔린,"163,597km",양호,양호,없음,없음,없음,일산화탄소: 0.5% / 탄화수소: 35ppm,해당없음,아반떼 MD,2011년식
38604448,334머3104,2024/02/05,-,가솔린,"18,401km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.5% / 탄화수소: 50ppm,해당없음,G80 (RG3),2025년식
38538819,380루7474,2022/10/12,-,가솔린,"19,672km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,GV80,2022년식
38112963,194도1661,2021/11/02,오토,가솔린,"3,048km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,쏘나타 (DN8),2022년식
38394035,351거7296,2020/09/29,-,가솔린+전기,"88,756km",양호,양호,없음,없음,없음,일산화탄소: 0.17% / 탄화수소: 19ppm,해당,쏘렌토 4세대,2021년식
37960795,240가1076,2023/07/14,오토,가솔린,"6,542km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,트랙스 크로스오버,2024년식
38419215,02도0493,2012/06/20,오토,가솔린,"152,572km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.06% / 탄화수소: 6ppm,해당없음,스파크,2012년식
38059733,142저1357,2020/12/08,-,가솔린,"48,082km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 2ppm,해당없음,K7 프리미어,2020년식
37411696,04어2214,2019/12/31,오토,전기,"56,360km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: -% / 탄화수소: -ppm,해당없음,볼트 EV,2019년식
38619510,144러7080,2019/11/14,-,가솔린,"77,913km",양호,양호,없음,없음,없음,일산화탄소: 0.2% / 탄화수소: 22ppm,해당 / 미이행,G70,2019년식
38385536,106나2848,2021/01/15,오토,가솔린+전기,"46,299km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당 / 이행,쏘렌토 4세대,2021년식
38403509,10노6201,2019/07/09,오토,디젤,"55,256km",양호,양호,없음,없음,없음,매연: 1%,해당 / 이행,베리 뉴 티볼리,2020년식
38139591,65거0417,2016/06/03,-,가솔린,"93,895km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,티볼리,2016년식
38570519,195나5509,2023/07/06,-,가솔린,"18,902km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 1ppm,해당 / 이행,토레스,2024년식
38475551,316러1143,2022/11/01,오토,가솔린,"53,464km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,GV80,2022년식
38503052,248다8975,2023/10/25,-,가솔린,"5,147km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,GV80,2023년식
38382746,175루1176,2020/05/11,오토,가솔린,"39,879km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 13ppm,해당없음,G70,2020년식
38576559,62노0764,2016/02/12,-,디젤,"151,987km",양호,양호,없음,없음,없음,매연: 2%,해당없음,올 뉴 K7,2016년식
38285981,152호7866,2020/09/11,오토,가솔린,"50,789km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.02% / 탄화수소: 3ppm,해당없음,베리 뉴 티볼리,2021년식
35607281,12고7039,2014/04/23,-,가솔린,"143,727km",양호,양호,없음,없음,없음,일산화탄소: 0.0% / 탄화수소: 48.0ppm,해당없음,에쿠스(신형),2015년식
