ID,N,NC,OC,TL,FD,TF,CM,CO
38357937,18가5984,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37997722,29나2379,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,238,209원",없음
37710536,98오1138,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회505,690원",없음
38372565,51러0458,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,259,533원","1회/748,800원"
38311083,95모5329,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,"1회/333,749원"
38116882,69수4611,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,359,342원","2회/860,394원"
38579352,182허9161,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/161,369원"
38597755,73하9196,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38122289,344구2930,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회571,807원",없음
38448310,80누0482,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,4회미확정,"1회/1,176,992원"
38261927,296마7304,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38511118,31노7392,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회958,378원",없음
38238832,195누1097,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38271541,67주0553,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회2,619,807원","3회/1,611,919원"
36441888,286어4734,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"3회/3,183,761원"
36871821,81나6474,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,928,776원","3회/5,484,655원"
38593137,710하1043,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,958,780원",없음
38638611,34나2759,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38417999,168누1060,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/2,455,108원"
38495621,180가3478,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,532,382원",없음
37866860,123러5372,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38340886,808나1014,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,324,865원","4회/5,360,860원"
38217381,247로1080,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,580,081원","1회/3,389,394원"
38457100,168거4044,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38229834,281구7863,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38532558,224서3373,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37210236,333수7991,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38214268,372오7002,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회591,193원","2회/2,790,000원"
38423043,50모1880,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회3,789,537원","2회/5,863,178원"
38583511,129너5452,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38636326,360라8514,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회412,070원",없음
38196881,124주5128,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,768,770원","1회/1,233,500원"
38393430,150고6508,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38328208,245부6768,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회947,839원",없음
