id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
37565573,오토,보험사보증,"118,543km",없음,없음,없음,없음,있음
38539451,-,보험사보증,"97,116km",없음,없음,없음,없음,있음
38376079,오토,보험사보증,"5,178km",없음,없음,없음,없음,없음
38487547,-,보험사보증,"114,237km",없음,없음,있음 / 렌트,있음,있음
38604121,-,보험사보증,"93,788km",없음,없음,없음,있음,있음
38581687,오토,보험사보증,"106,546km",없음,없음,없음,없음,있음
38496220,오토,자가보증,"187,346km",없음,없음,없음,없음,없음
38510056,오토,자가보증,"79,901km",없음,없음,없음,없음,없음
38537094,오토,보험사보증,"55,403km",없음,없음,없음,있음,있음
38588373,오토,보험사보증,"169,169km",있음 / 적법,없음,없음,없음,없음
37616784,오토,보험사보증,"141,888km",없음,없음,없음,있음,있음
38595742,오토,자가보증,"32,669km",없음,없음,없음,없음,없음
38595712,오토,보험사보증,"78,215km",없음,없음,없음,있음,있음
38141376,-,보험사보증,"7,299km",없음,없음,없음,없음,없음
38536447,-,보험사보증,"52,306km",없음,없음,없음,없음,없음
38307280,오토,보험사보증,"78,407km",없음,없음,없음,없음,없음
38075636,-,보험사보증,"138,185km",없음,없음,없음,없음,없음
38502157,-,보험사보증,"18,730km",없음,없음,없음,없음,없음
38033206,-,자가보증,"189,256km",없음,없음,있음 / 렌트,없음,있음
38631415,오토,보험사보증,"213,721km",없음,없음,없음,없음,있음
37938551,오토,보험사보증,"121,788km",없음,없음,있음 / 렌트,없음,없음
38338318,오토,보험사보증,"34,010km",없음,없음,없음,없음,없음
38468926,-,보험사보증,"105,332km",없음,없음,없음,없음,없음
38561738,-,보험사보증,"40,001km",없음,없음,없음,없음,없음
38366978,오토,보험사보증,"88,511km",없음,없음,있음 / 렌트,있음,있음
38608153,-,자가보증,"228,133km",없음,없음,없음,없음,없음
37777266,오토,보험사보증,"188,972km",없음,없음,없음,없음,있음
38571188,오토,보험사보증,"120,939km",없음,없음,없음,없음,있음
38352775,-,보험사보증,"222,779km",없음,없음,없음,있음,있음
38462818,오토,자가보증,"147,686km",없음,없음,있음 / 렌트,없음,없음
38384674,-,보험사보증,"127,362km",없음,없음,없음,없음,있음
38077897,-,보험사보증,"60,088km",없음,없음,없음,없음,없음
38444921,-,보험사보증,"132,728km",없음,없음,없음,없음,없음
38069354,오토,자가보증,"110,730km",없음,없음,없음,있음,있음
38229039,오토,보험사보증,"140,591km",없음,없음,없음,없음,없음
38331708,-,보험사보증,"83,368km",없음,없음,없음,있음,있음
37880992,오토,보험사보증,"36,670km",없음,없음,없음,없음,없음
38346637,-,자가보증,"5,248km",없음,없음,없음,없음,없음
37792786,수동,보험사보증,"51,916km",없음,없음,없음,없음,없음
38510034,-,보험사보증,"59,583km",없음,없음,없음,없음,없음
38117136,-,보험사보증,780km,없음,없음,없음,없음,없음
38532323,-,자가보증,"115,060km",없음,없음,없음,있음,있음
