ID,N,NC,OC,TL,FD,TF,CM,CO
38515578,370우7747,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회455,210원",없음
38191041,14서0849,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38560548,153더1509,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38466707,168수3246,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회703,227원","1회/1,132,404원"
38009643,198저6905,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38237426,05모8345,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38107360,95루0228,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,397,858원",없음
38612238,222서8255,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회464,729원","1회/1,048,980원"
38545130,124보5470,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38509286,60루0515,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회5,664,568원","2회/1,265,125원"
37379269,279거5696,2회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,384,039원","1회/301,510원"
38597755,73하9196,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38485694,333부3474,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38143966,237노1849,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회736,719원",없음
38436035,59소1560,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38134068,100더2445,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,108,508원","2회/4,784,259원"
38470281,62루3968,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회5,002,710원",없음
38605742,60러6474,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,323,087원","2회/2,306,110원"
38614855,11어6738,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,394,718원","2회/912,302원"
38522065,59모3278,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,729,514원",없음
38240936,222무4774,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회594,610원",없음
38401660,04조6405,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38103075,306나4572,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회938,873원","3회/2,154,421원"
38303208,41거1612,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회793,040원",없음
38593137,710하1043,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,958,780원",없음
38499710,01구3205,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,024,139원","1회/361,750원"
38504318,243고7901,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38107830,36다9409,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,074,319원",없음
38342745,199로2860,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38416016,40라7963,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,739,964원"
38543006,279누5884,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38587595,205다2579,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,169,767원",없음
38122498,23어8245,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회3,575,563원","3회/2,726,605원"
38334012,264루6081,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38399208,337누6631,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회551,850원",없음
38430121,114루6733,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38618306,42주6031,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회543,340원","1회/720,122원"
37908768,127라4791,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,357,789원",없음
38373944,36도3229,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회8,148,056원","6회/4,912,194원"
37658198,143거1512,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/1,486,000원"
38587867,213구6432,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38444594,06거9317,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회888,900원","1회/903,749원"
38489013,237다1093,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38261495,20마0387,1회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회4,007,383원","2회/2,345,359원"
38213221,148더9719,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38544028,241라2053,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회374,254원","2회/1,544,141원"
38421740,180버1355,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회761,554원",없음
38211273,12너0383,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회918,778원","1회/215,458원"
38604102,159가5065,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회714,494원",없음
38539148,262너8459,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38353938,180오7189,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38469315,128허8600,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회463,269원",없음
38154862,10도5969,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,306,814원",없음
38211306,197서4221,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,275,549원",없음
38499925,176로4348,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,122,670원"
38411751,239다9834,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회908,290원",없음
38557065,120노6987,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37797573,246고3077,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회5,812,276원","2회/10,000,000원"
38291092,130모9703,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회437,523원",없음
35888578,56수6141,2회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"11회34,439,249원","1회/668,118원"
38612820,222서8255,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회464,729원","1회/1,048,980원"
38447578,65노1771,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38373433,373보4382,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회4,483,069원","3회/3,753,659원"
38443581,315마4965,0회,8회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
36441888,286어4734,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"3회/3,183,761원"
38487773,15다2214,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,082,140원","1회/628,220원"
38502242,138마2527,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38393579,22가8599,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회825,610원","4회/3,794,608원"
38477975,251수9650,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/820,119원"
38583458,144도8829,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회975,659원",없음
38080014,38구0601,0회,8회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회6,939,319원","2회/1,863,163원"
38536554,59루8143,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,058,630원","1회/661,538원"
37953972,136더2535,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38218179,148더9719,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
